movieId,title,generes,type,production
125,Buntownik z wyboru,drama | romance | psychological,movie,us
126,W pogoni za szczęściem,biography | drama,movie,us
127,Interstellar,sci-fi | drama | artificial inteligence | psychological,movie,us
128,Requiem dla snu,drama | psychological,movie,us
129,W sieci zła,action | crime | drama | mistery | thriller,movie,us
130,W objęciach węża,adventure | biography | drama,movie,sp
131,Gra,drama | mystery | thriller | psychological,movie,us
132,Seksmisja,adventure | comedy | sci-fi,movie,pl
133,Efekt motyla,drama | thriller | psychological,movie,us
134,Morderstwa w Oxford,crime | mystery | thriller,movie,uk
135,Symetria,drama | thriller,movie,pl
136,Trener,biography | drama | sport,movie,us
137,Uprowadzona,action | crime | thriller | psychological,movie,us
138,K-Pax,drama | mystery | sci-fi | psychological,movie,us
139,Chappie,action | crime | thriller | sci-fi | artificial inteligence,movie,us
140,Ja Robot,action | sci-fi | thriller | artificial inteligence,movie,us
141,Dziewiąte wrota,mystery | thriller | psychological,movie,us
142,Tożsamość Bourne'a,action | mystery | thriller | psychological,movie,us
143,Jestem bogiem,sci-fi | thriller,movie,us
144,Lucy,action | sci-fi | thriller | artificial inteligence,movie,us
145,Truman show,comedy | drama | pschological,movie,us
146,Miasto grzechu,crime | thriller,movie,us
147,V jak Vendetta,superhero | action | sci-fi | thriller,movie,us
148,Mechanik,drama | thriller | psychological,movie,us
149,Plan doskonały,crime | drama | mistery | thriller,movie,us
150,Rocky,drama | sport,movie,us
151,Odyseja kosmiczna,sci-fi | adventure | psychological | artificial inteligence,movie,us
152,Wielki Mike,biography | drama | sport,movie,us
153,Inni,mistery | thriller | psychological,movie,us
154,W głowie się nie mieści,animation | family | comedy | psychological,movie,us
155,Oppenheimer,biography | drama | history,movie,us
156,Łowca androidów,action | drama | sci-fi | artificial inteligence,movie,us
158,Killer tomatoes,dark comedy | parody | sci-fi | horror,movie,us
159,Toxic avenger,dark comedy | action | horror | sci-fi,movie,us
160,Iron sky,action | adventure | comedy | sci-fi,movie,fi
161,Sky Sharks,comedy | horror | sci-fi,movie,de
162,Lexx,dark comedy | action | sci-fi | drama | fantasy,movie,cn
163,Nuke'em high,parody | comedy | horror | sci-fi,movie,us
164,Yeti a gay love story,comedy | horror | romance,movie,us
165,Zemsta Embriona,drama | fantasy | horror | sci-fy,movie,us
166,Truma's war,parody | comedy | horror | adventure,movie,us
167,Substancja,drama | horror | sci-fi | pschological,movie,us
168,Rodzaje Życzliwości,dark comedy | drama | horror,movie,us
169,Biedne Istoty,dark comedy | drama | sci-fi | psychological,movie,us
170,Rebel Moon,sci-fi | action | adventure | drama,movie,us
172,Barbie,comedy | fantasy,movie,us
173,Communion,biography | drama | horror | sci-fi | thriller,movie,us
174,Swiss Army Man,dark comedy | drama | fantasy | romance,movie,us
175,Wszystko wszędzie naraz,action | adventure | dark comedy | sci-fi,movie,us
176,The new Barbarians,action | sci-fi | thriller,movie,it
177,The Demonicas,horror,movie,fr
178,Wszyscy Moi przyjaciele nie żyją,comedy | crime | horror,movie,pl
179,JOJO Rabit,dark comedy | parody | drama,movie,cz
180,Men & Chicken,dark comedy | mistery | sci-fi | drama,movie,dk
181,Pewnego razu w hollywood,comedy | drama,movie,us
182,Wielkie Piękno,drama,movie,it
183,Parasite,dark comedy | drama | thriller | psychological,movie,as
184,Kto pilnuje Oliwera,drama | horror,movie,us
185,Zwierzęta,comedy | drama,movie,uk
186,Spiskowcy Rozkoszy,dark comedy | drama,movie,cz
187,Mały Otik,thriller | horror | psychological,movie,cz
188,Plan 9 z kosmosu,sci-fi | zombie,movie,us
189,Niemiłość,drama,movie,ru
190,Lovewitch,dark comedy | horror | romance | thriller,movie,us
191,Kingsman,action | adventure | comedy | thriller,movie,us
192,Nowy Początek,drama | mystery | sci-fi | psychological,movie,us
193,Krwawa Uczta,action | comedy | horror | sci-fi | thriller,movie,us
194,The killing of satan,action | adventure | fantasy | horror,movie,fo
195,Big Short,biography | comedy | drama | history,movie,us
